benchmark,period,edge,operator_flow,node_balance_flow,exact_difference
branching_shared_edge_bottleneck,k1,e0,111.11111111112015,111.11111111112015,0
branching_shared_edge_bottleneck,k1,e1,40.000000000005,40.000000000005,0
branching_shared_edge_bottleneck,k1,e2,60.00000000000314,60.00000000000314,0
branching_shared_edge_bottleneck,k1,e3,24.979591836736,24.979591836736,0
branching_shared_edge_bottleneck,k1,e4,26.020408163266666,26.020408163266666,0
chain_source_bottleneck,k1,e1,100.0,100.0,0
chain_source_bottleneck,k1,e2,90.0,90.0,0
star_edge_bottleneck,k1,e1,70.0,70.0,0
star_edge_bottleneck,k1,e2,60.0,60.0,0
temporal_lexicographic,k1,e1,6.4,6.4,0
temporal_lexicographic,k1,e2,1.6,1.6,0
temporal_lexicographic,k2,e1,1.6,1.6,0
temporal_lexicographic,k2,e2,6.4,6.4,0
temporal_lexicographic,k3,e1,4.8,4.8,0
temporal_lexicographic,k3,e2,1.2,1.2,0
tie_bottleneck,k1,e1,30.0,30.0,0
tie_bottleneck,k1,e2,45.0,45.0,0
