node,x,y,topological_level,is_source
Of1,0.0,0.0,0,True
Tail1,1.0,0.0,15,False
Of2,0.049163561092151045,0.0,1,False
T1,0.04729238279964155,0.62,2,False
Of3,0.0840049657517785,0.0,2,False
T2,0.12229238279964155,0.62,3,False
T3,0.19729238279964156,0.62,3,False
Of4,0.1388540313541657,0.0,3,False
T4,0.2722923827996416,0.62,4,False
Of5,0.17667896325001953,0.0,4,False
T5,0.050000000000000405,-0.62,5,False
Of6,0.27412356591816045,0.0,5,False
T6,0.12307692307692347,-0.62,6,False
Of7,0.3392483296228358,0.0,6,False
T7,0.3472923827996416,0.62,7,False
Of8,0.47148415186275666,0.0,7,False
T8,0.4745118340969089,0.62,8,False
Of9,0.5134368856858182,0.0,8,False
T9,0.19615384615384654,-0.62,9,False
T10,0.2692307692307696,-0.62,9,False
T11,0.34230769230769265,-0.62,9,False
T12,0.4153846153846157,-0.62,9,False
T13,0.4884615384615387,-0.62,9,False
T14,0.5615384615384618,-0.62,9,False
Of10,0.5835974518212863,0.0,9,False
T15,0.6346153846153848,-0.62,10,False
Of11,0.6421036291682602,0.0,10,False
Of12,0.6883159065051229,0.0,11,False
Of13,0.8017222992352505,0.0,12,False
Of14,0.8645965096941438,0.0,13,False
Of15,0.9327354898530366,0.0,14,False
T16,0.7076923076923078,-0.62,11,False
T17,0.7807692307692309,-0.62,12,False
T18,0.8538461538461539,-0.62,13,False
T19,0.926923076923077,-0.62,14,False
T20,1.0,-0.62,15,False
