edge,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
K35,-0.0,-0.0,-0.0,9.496974437871948e-17,1.1078988879315367e-16,5.652930682410507e-17,-1.2406482507631988e-16,-8.424154789132832e-18,1.9856481698887764e-17,1.9856481698887764e-17,1.9856481698887764e-17,-0.0,-0.0,-0.0,1.5772288974869046e-16,-9.976147359183455e-17,-3.15036232395267e-16,-3.5453567792397327e-16,-1.2147146034134067e-16,1.1764705882352946
K30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K34,-0.0,-0.0,-0.0,-1.232595164407831e-32,-2.465190328815662e-32,-0.0,-2.465190328815662e-32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.465190328815662e-32,-0.0,-0.0,-0.0,1.1764705882352942,-2.220446049250313e-16
K29,-0.0,-0.0,-0.0,1.0211800470830051e-16,1.191289126808104e-16,6.078420088613447e-17,-1.3340303771647298e-16,-9.058230956056809e-18,2.1351055590201896e-17,2.1351055590201896e-17,2.1351055590201896e-17,-0.0,-0.0,-0.0,1.6959450510611877e-16,-1.0727040171165005e-16,-3.3874863698415807e-16,-3.8122115905803574e-16,-1.3061447348531254e-16,1.2650221378874136
K33,-0.0,-0.0,-0.0,-0.0,-0.0,-1.232595164407831e-32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.2048192771084338,-0.0,-0.0
K28,-0.0,-0.0,-0.0,1.0749263653505317e-16,1.2539885545348461e-16,6.398336935382577e-17,-1.4042425022786631e-16,-9.53497995374401e-18,2.247479535810726e-17,2.247479535810726e-17,2.247479535810726e-17,-0.0,-0.0,-0.0,1.785205316906513e-16,-1.129162123280527e-16,-3.5657751261490323e-16,-4.0128543058740604e-16,1.2383900928792568,1.3316022504078036
K32,-0.0,-0.0,-0.0,-2.465190328815662e-32,-0.0,-1.232595164407831e-32,-0.0,-0.0,-3.0814879110195774e-33,-3.0814879110195774e-33,-3.0814879110195774e-33,-0.0,-0.0,-0.0,-2.465190328815662e-32,-0.0,1.1764705882352942,-0.0,-2.220446049250313e-16,-4.440892098500626e-16
K27,-0.0,-0.0,-0.0,1.1812377641214634e-16,1.378009400587743e-16,7.031139489431402e-17,-1.5431236288776518e-16,-1.047799994916924e-17,2.4697577316601384e-17,2.4697577316601384e-17,2.4697577316601384e-17,-0.0,-0.0,-0.0,1.9617640845126517e-16,-1.240837498110469e-16,-3.918434204559376e-16,1.323977227591685,1.3608682339332492,1.4632991762723115
K31,-0.0,-0.0,-0.0,-0.0,-0.0,-1.232595164407831e-32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.1764705882352944,2.220446049250313e-16,-0.0,-0.0,-0.0
K26,-0.0,-0.0,-0.0,1.243408172759435e-16,1.4505362111449926e-16,7.40119946255937e-17,-1.6243406619764756e-16,-1.1029473630704463e-17,2.5997449806948822e-17,2.5997449806948822e-17,2.5997449806948822e-17,-0.0,-0.0,-0.0,2.0650148258027913e-16,-1.3061447348531254e-16,1.2383900928792566,1.393660239570195,1.4324928778244728,1.5403149223919066
K24,-0.0,-0.0,-0.0,1.336998035225199e-16,1.5597163560698846e-16,7.958278991999322e-17,-1.7466028623402962e-16,-1.1859649065273617e-17,2.7954247104246045e-17,2.7954247104246045e-17,2.7954247104246045e-17,-0.0,-0.0,-0.0,2.220446049250313e-16,1.265022137887413,1.331602250407803,1.4985593973873064,1.5403149223919061,1.6562526047224801
K25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0526315789473684,0.0,0.0,0.0,0.0,0.0
K17,-0.0,-0.0,-0.0,1.4532587339404337e-16,1.6953438652933527e-16,8.650303252173176e-17,-1.8984813721090176e-16,-1.289092289703654e-17,3.038505120026744e-17,3.038505120026744e-17,3.038505120026744e-17,-0.0,-0.0,-0.0,1.1441647597254005,1.375024062921101,1.447393750443264,1.6288689102035938,1.674255350425985,1.8002745703505219
K23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1764705882352942,0.0,0.0,0.0,0.0,0.0,0.0
K22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1764705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
