scenario,tau_low,tau_high,budget_at_tau_low,budget_at_tau_high,marginal_cost,funded_resources
widening only,0.8499999999996504,0.8499999999999013,0.0,2.9898077152141774e-07,1191508.0215769606,1
widening only,0.8499999999999013,0.8499999999999543,2.9898077152141774e-07,4.188424082900213e-07,2258103.553406496,2
widening only,0.8499999999999543,0.8500000000000193,4.188424082900213e-07,6.330455667084773e-07,3297908.6284406697,3
widening only,0.8500000000000193,0.8500000000000696,6.330455667084773e-07,8.397653476006052e-07,4115103.511665357,4
widening only,0.8500000000000696,0.8500000000001506,8.397653476006052e-07,1.2678782408642667e-06,5282053.539018203,5
widening only,0.8500000000001506,0.8500000000002088,1.2678782408642667e-06,1.650099261713754e-06,6568038.934509739,6
widening only,0.8500000000002088,0.899999999990528,1.650099261713754e-06,379704.2358999611,7594084.719436546,7
widening only,0.899999999990528,0.8999999999971126,379704.2358999611,379704.2359501686,7625136.260042429,8
widening only,0.8999999999971126,0.8999999999978535,379704.2359501686,379704.2359558335,7645508.416903605,9
widening only,0.8999999999978535,0.8999999999987915,379704.2359558335,379704.2359630996,7746264.456484957,10
widening only,0.8999999999987915,0.8999999999989621,379704.2359630996,379704.2359644288,7794939.903886133,11
widening only,0.8999999999989621,0.9000000000016425,379704.2359644288,379704.2359854749,7851612.13832731,12
widening only,0.9000000000016425,0.9000000000058697,379704.2359854749,379704.23601891124,7909965.753618314,13
widening only,0.9000000000058697,0.9000000000099692,379704.23601891124,379704.23605146195,7940030.753614784,14
widening only,0.9000000000099692,0.900000000013468,379704.23605146195,379704.23607932514,7963632.850150079,15
widening only,0.900000000013468,0.9000000003800217,379704.23607932514,379704.23900002526,7968000.497208903,16
widening only,0.9000000003800217,1.0,379704.23900002526,1176720.9915744318,7970167.556032431,18
lined to eta>=0.90,0.9090181145251857,0.9092893009956446,0.0,295.9147853640899,1091185.651199163,1
lined to eta>=0.90,0.9092893009956446,0.9093549160412586,295.9147853640899,417.6370043889558,1855096.1579877248,2
lined to eta>=0.90,0.9093549160412586,0.9097295726378083,417.6370043889558,1476.8030590854219,2827031.6456481875,3
lined to eta>=0.90,0.9097295726378083,0.9098188260907726,1476.8030590854219,1836.3680795100263,4028583.864071225,4
lined to eta>=0.90,0.9098188260907726,0.9100581510576373,1836.3680795100263,3029.9221652002307,4987169.125419715,5
lined to eta>=0.90,0.9100581510576373,0.9103247992983635,3029.9221652002307,4656.488449666589,6100045.063251799,6
lined to eta>=0.90,0.9103247992983635,0.9529411764605591,4656.488449666589,307060.60255772545,7095960.150651121,7
lined to eta>=0.90,0.9529411764605591,0.952941176467531,307060.60255772545,307060.6026074015,7125286.605667788,8
lined to eta>=0.90,0.952941176467531,0.9529411764693086,307060.6026074015,307060.6026201025,7144526.976036676,9
lined to eta>=0.90,0.9529411764693086,0.9529411764694892,307060.6026201025,307060.6026214008,7190498.231915565,10
lined to eta>=0.90,0.9529411764694892,0.9529411764768031,307060.6026214008,307060.60267438303,7244022.008887787,11
lined to eta>=0.90,0.9529411764768031,0.9529411764811438,307060.60267438303,307060.60270595056,7272416.731106676,12
lined to eta>=0.90,0.9529411764811438,0.9529411764848484,307060.60270595056,307060.6027329747,7294707.600056676,13
lined to eta>=0.90,0.9529411764848484,0.9529411768729642,307060.6027329747,307060.6055657661,7298832.600056676,14
lined to eta>=0.90,0.9529411768729642,0.9592519396747461,307060.6055657661,353134.722862505,7300879.266723343,16
lined to eta>=0.90,0.9592519396747461,0.9599391796447144,353134.722862505,358217.14538832125,7395411.716304573,17
lined to eta>=0.90,0.9599391796447144,1.0,358217.14538832125,656675.1323074576,7450121.696765457,18
lined to eta>=0.92,0.9442811902732603,0.9444887699216197,0.0,218.0492601167313,1050436.6003128341,1
lined to eta>=0.92,0.9444887699216197,0.9452100590033449,218.0492601167313,1506.1831869263383,1785877.4788726121,2
lined to eta>=0.92,0.9452100590033449,0.9454673890649335,1506.1831869263383,2206.363882784611,2720944.0340370154,3
lined to eta>=0.92,0.9454673890649335,0.9454806706601128,2206.363882784611,2254.7538624046515,3643386.1269901576,4
lined to eta>=0.92,0.9454806706601128,0.9459495911867988,2254.7538624046515,4505.34004607663,4799504.51215485,5
lined to eta>=0.92,0.9459495911867988,0.9464366701575522,4505.34004607663,7364.569321536526,5870155.451460562,6
lined to eta>=0.92,0.9464366701575522,0.9741176470485716,7364.569321536526,196372.23903335424,6828070.788684423,7
lined to eta>=0.92,0.9741176470485716,0.9741176470556983,196372.23903335424,196372.23908222048,6856759.712070292,8
lined to eta>=0.92,0.9741176470556983,0.9741176470575155,196372.23908222048,196372.23909471498,6875581.813518118,9
lined to eta>=0.92,0.9741176470575155,0.9741176470577001,196372.23909471498,196372.2390959923,6920553.694269205,10
lined to eta>=0.92,0.9741176470577001,0.9741176470651766,196372.2390959923,196372.23914812497,6972913.910872466,11
lined to eta>=0.92,0.9741176470651766,0.9741176470696137,196372.23914812497,196372.2391791883,7000691.356521379,12
lined to eta>=0.92,0.9741176470696137,0.9741176470734006,196372.2391791883,196372.23920578213,7022497.641363771,13
lined to eta>=0.92,0.9741176470734006,0.9741176474701412,196372.23920578213,196372.24199349218,7026532.967450727,14
lined to eta>=0.92,0.9741176474701412,0.9995806190031766,196372.24199349218,375339.6322169777,7028535.141363771,16
lined to eta>=0.92,0.9995806190031766,0.9997282411921297,375339.6322169777,376384.9560720254,7081075.429524193,17
lined to eta>=0.92,0.9997282411921297,1.0,376384.9560720254,378333.9505951038,7171780.515053104,18
