benchmark,strategy,lining_target_eta,target_guarantee,lambda_star_before,lambda_star_after_lining,upgraded_resources,total_resources,added_capacity,added_capacity_exact,share_of_season_source_capacity,saving_vs_widening_only
branching_shared_edge_bottleneck,widening,,0.9,0.7806122448979592,,3,6,11.53921568627451,1177/102,0.09616013071895425,0.0
branching_shared_edge_bottleneck,widening,,0.95,0.7806122448979592,,4,6,24.802505446623094,227687/9180,0.20668754538852577,0.0
branching_shared_edge_bottleneck,widening,,1.0,0.7806122448979592,,5,6,40.59912854030501,18635/459,0.33832607116920843,0.0
branching_shared_edge_bottleneck,lining_then_widening,0.9,1.0,0.7806122448979592,0.9,2,6,8.0,8,0.06666666666666667,0.8029514354708881
branching_shared_edge_bottleneck,lining_then_widening,0.92,1.0,0.7806122448979592,0.9404444444444444,2,6,4.408317580340265,2332/529,0.03673597983616887,0.8914184186006878
branching_shared_edge_bottleneck,lining_then_widening,0.95,1.0,0.7806122448979592,1.0,0,6,0.0,0,0.0,1.0
chain_source_bottleneck,widening,,0.9,0.72,,1,3,25.0,25,0.25,0.0
chain_source_bottleneck,widening,,0.95,0.72,,1,3,31.944444444444443,575/18,0.3194444444444444,0.0
chain_source_bottleneck,widening,,1.0,0.72,,1,3,38.888888888888886,350/9,0.3888888888888889,0.0
chain_source_bottleneck,lining_then_widening,0.9,1.0,0.72,0.81,1,3,23.45679012345679,1900/81,0.2345679012345679,0.3968253968253968
chain_source_bottleneck,lining_then_widening,0.92,1.0,0.72,0.8464,1,3,18.147448015122873,9600/529,0.18147448015122875,0.5333513367539833
chain_source_bottleneck,lining_then_widening,0.95,1.0,0.72,0.9025,1,3,10.803324099722992,3900/361,0.10803324099722991,0.7222002374356945
gone_abat_jap,widening,,0.9,0.8499999999996504,,12,548,379704.23597257846,582956530606006074121252367393/1535291090742812012268750,0.0337356514586976,0.0
gone_abat_jap,widening,,0.95,0.8499999999996504,,18,548,778212.6137728101,2921031180621161452935311517511/3753513023208233103000000,0.0691419979336168,0.0
gone_abat_jap,widening,,1.0,0.8499999999996504,,18,548,1176720.9915744318,41959956882292780726711004601697/35658373720478214478500000,0.10454834440865952,0.0
gone_abat_jap,lining_then_widening,0.9,1.0,0.8499999999996504,0.9090181145251857,18,548,656675.1323074576,1549586070050545598937938158543/2359745319737528899312500,0.058343735166331914,0.4419449155667411
gone_abat_jap,lining_then_widening,0.92,1.0,0.8499999999996504,0.9442811902732603,18,548,378333.9505951038,23578573579778281950759382874701/62322119235374335353000000,0.03361390546401564,0.678484574249925
gone_abat_jap,lining_then_widening,0.95,1.0,0.8499999999996504,1.0,0,548,0.0,0,0.0,1.0
star_edge_bottleneck,widening,,0.9,0.7,,1,3,20.0,20,0.1,0.0
star_edge_bottleneck,widening,,0.95,0.7,,2,3,28.333333333333332,85/3,0.14166666666666666,0.0
star_edge_bottleneck,widening,,1.0,0.7,,2,3,36.666666666666664,110/3,0.18333333333333332,0.0
star_edge_bottleneck,lining_then_widening,0.9,1.0,0.7,0.7875,2,3,25.555555555555557,230/9,0.12777777777777777,0.30303030303030304
star_edge_bottleneck,lining_then_widening,0.92,1.0,0.7,0.805,2,3,22.17391304347826,510/23,0.1108695652173913,0.3952569169960474
star_edge_bottleneck,lining_then_widening,0.95,1.0,0.7,0.83125,2,3,17.36842105263158,330/19,0.0868421052631579,0.5263157894736842
temporal_lexicographic,widening,,0.9,0.6,,3,9,5.0,5,0.22727272727272727,0.0
temporal_lexicographic,widening,,0.95,0.6,,3,9,6.5,13/2,0.29545454545454547,0.0
temporal_lexicographic,widening,,1.0,0.6,,3,9,8.0,8,0.36363636363636365,0.0
temporal_lexicographic,lining_then_widening,0.9,1.0,0.6,0.6,3,9,8.0,8,0.36363636363636365,0.0
temporal_lexicographic,lining_then_widening,0.92,1.0,0.6,0.6,3,9,8.0,8,0.36363636363636365,0.0
temporal_lexicographic,lining_then_widening,0.95,1.0,0.6,0.6,3,9,8.0,8,0.36363636363636365,0.0
tie_bottleneck,widening,,0.9,0.75,,2,3,21.0,21,0.28,0.0
tie_bottleneck,widening,,0.95,0.75,,2,3,28.0,28,0.37333333333333335,0.0
tie_bottleneck,widening,,1.0,0.75,,2,3,35.0,35,0.4666666666666667,0.0
tie_bottleneck,lining_then_widening,0.9,1.0,0.75,0.75,2,3,35.0,35,0.4666666666666667,0.0
tie_bottleneck,lining_then_widening,0.92,1.0,0.75,0.75,2,3,35.0,35,0.4666666666666667,0.0
tie_bottleneck,lining_then_widening,0.95,1.0,0.75,0.75,2,3,35.0,35,0.4666666666666667,0.0
