scenario,lambda_star,bottleneck_argmin,bottleneck_near_set,bottleneck_class,near_set_size,runner_up_margin,stage2_satisfaction,stage3_variation,feasibility_tolerance,draw
baseline,0.8499999999996504,source:23,source:18;source:19;source:20;source:21;source:22;source:23;source:24,source,7,0.058823529401056784,0.9020152785693696,5.417942221248455,1e-09,
demand,0.8287292817803573,edge:11:K6,edge:11:K6,edge,1,0.009293680288876664,0.9045114322160873,6.448791066685423,1e-09,1.0
demand,0.8317929759693082,edge:15:K5,edge:15:K5,edge,1,0.0002773236515136817,0.9091855061357221,8.13345669279742,1e-09,2.0
demand,0.8249312557275816,edge:15:K5,edge:15:K5,edge,1,0.0009174312050915988,0.9008952175933409,7.524960420354833,1e-09,3.0
demand,0.8226691042101185,edge:12:K5,edge:11:K6;edge:12:K5,edge,2,0.011936259915284686,0.9097861460659192,7.341951758069584,1e-09,4.0
demand,0.8312555873197733,source:22,source:22,source,1,0.005533667394868117,0.9045398969814048,9.615909451679771,1e-09,5.0
demand,0.8211678832090443,edge:13:K8,edge:13:K8,edge,1,0.0009132424349755885,0.9034504635085386,7.7227660188884455,1e-09,6.0
demand,0.8211678832107318,edge:16:K5,edge:16:K5,edge,1,0.005589218794971798,0.9133728645081214,7.86615276148704,1e-09,7.0
demand,0.8189262966322034,edge:15:K5,edge:15:K5,edge,1,0.02141362202259681,0.9159163338398426,9.412084406188544,1e-09,8.0
demand,0.8181818181871542,edge:12:K5,edge:12:K5,edge,1,0.011029412185015613,0.9109063135809996,6.982096148625967,1e-09,9.0
demand,0.8226691042138659,edge:14:K12,edge:14:K12,edge,1,0.004591368231637279,0.9098055628012347,8.192529841523331,1e-09,10.0
demand,0.8226745015008602,source:20,source:20,source,1,0.005508109021378826,0.9038649585098513,8.978060224720883,1e-09,11.0
demand,0.8204193254420867,edge:14:K12,edge:14:K12,edge,1,0.011059907838031945,0.9042053159913811,7.129978501187838,1e-09,12.0
demand,0.8394087252543259,source:23,source:23,source,1,0.0016947690658669593,0.9064948745687621,8.190227718768647,1e-09,13.0
demand,0.8365930426043572,source:23,source:23,source,1,0.0034158652157982665,0.9119000975890998,7.052567671170853,1e-09,14.0
demand,0.821167883558414,edge:25:K6,edge:25:K6,edge,1,0.021364242539750927,0.9156746132616306,7.541292426550089,1e-09,15.0
demand,0.8325209809584422,source:21,source:21,source,1,0.0028328719827744,0.9012397211170915,6.522649923903246,1e-09,16.0
demand,0.8416156145378201,source:22,source:22,source,1,0.005628044260002765,0.9068823077657024,5.063874720592155,1e-09,17.0
demand,0.8351071639458453,source:20,source:20,source,1,0.0032797909533693287,0.9061249880212274,7.750499100219763,1e-09,18.0
demand,0.8225409699495834,source:18,source:18,source,1,0.019085036552497055,0.9074814490193115,8.33593011050375,1e-09,19.0
