edge,tail,head
e0,s,n1
e1,s,n2
e2,n1,n3
e3,n1,n4
e4,n2,n5
e5,n2,n6
e6,n3,n7
e7,n3,n8
e8,n4,n9
e9,n4,n10
e10,n5,n11
e11,n5,n12
e12,n6,n13
e13,n6,n14
e14,n7,n15
e15,n7,n16
e16,n8,n17
e17,n8,n18
e18,n9,n19
e19,n9,n20
e20,n10,n21
e21,n10,n22
e22,n11,n23
e23,n11,n24
e24,n12,n25
e25,n12,n26
e26,n13,n27
e27,n13,n28
e28,n14,n29
e29,n14,n30
e30,n15,n31
e31,n15,n32
e32,n16,n33
e33,n16,n34
e34,n17,n35
e35,n17,n36
e36,n18,n37
e37,n18,n38
e38,n19,n39
e39,n19,n40
e40,n20,n41
e41,n20,n42
e42,n21,n43
e43,n21,n44
e44,n22,n45
e45,n22,n46
e46,n23,n47
e47,n23,n48
e48,n24,n49
e49,n24,n50
e50,n25,n51
e51,n25,n52
e52,n26,n53
e53,n26,n54
e54,n27,n55
e55,n27,n56
e56,n28,n57
e57,n28,n58
e58,n29,n59
e59,n29,n60
e60,n30,n61
e61,n30,n62
e62,n31,n63
e63,n31,n64
e64,n32,n65
e65,n32,n66
e66,n33,n67
e67,n33,n68
e68,n34,n69
e69,n34,n70
e70,n35,n71
e71,n35,n72
e72,n36,n73
e73,n36,n74
e74,n37,n75
e75,n37,n76
e76,n38,n77
e77,n38,n78
e78,n39,n79
e79,n39,n80
e80,n40,n81
e81,n40,n82
e82,n41,n83
e83,n41,n84
e84,n42,n85
e85,n42,n86
e86,n43,n87
e87,n43,n88
e88,n44,n89
e89,n44,n90
e90,n45,n91
e91,n45,n92
e92,n46,n93
e93,n46,n94
e94,n47,n95
e95,n47,n96
e96,n48,n97
e97,n48,n98
e98,n49,n99
e99,n49,n100
e100,n50,n101
e101,n50,n102
e102,n51,n103
e103,n51,n104
e104,n52,n105
e105,n52,n106
e106,n53,n107
e107,n53,n108
e108,n54,n109
e109,n54,n110
e110,n55,n111
e111,n55,n112
e112,n56,n113
e113,n56,n114
e114,n57,n115
e115,n57,n116
e116,n58,n117
e117,n58,n118
e118,n59,n119
e119,n59,n120
e120,n60,n121
e121,n60,n122
e122,n61,n123
e123,n61,n124
e124,n62,n125
e125,n62,n126
e126,n63,n127
e127,n63,n128
e128,n64,n129
e129,n64,n130
e130,n65,n131
e131,n65,n132
e132,n66,n133
e133,n66,n134
e134,n67,n135
e135,n67,n136
e136,n68,n137
e137,n68,n138
e138,n69,n139
e139,n69,n140
e140,n70,n141
e141,n70,n142
e142,n71,n143
e143,n71,n144
e144,n72,n145
e145,n72,n146
e146,n73,n147
e147,n73,n148
e148,n74,n149
e149,n74,n150
e150,n75,n151
e151,n75,n152
e152,n76,n153
e153,n76,n154
e154,n77,n155
e155,n77,n156
e156,n78,n157
e157,n78,n158
e158,n79,n159
e159,n79,n160
e160,n80,n161
e161,n80,n162
e162,n81,n163
e163,n81,n164
e164,n82,n165
e165,n82,n166
e166,n83,n167
e167,n83,n168
e168,n84,n169
e169,n84,n170
e170,n85,n171
e171,n85,n172
e172,n86,n173
e173,n86,n174
e174,n87,n175
e175,n87,n176
e176,n88,n177
e177,n88,n178
e178,n89,n179
e179,n89,n180
e180,n90,n181
e181,n90,n182
e182,n91,n183
e183,n91,n184
e184,n92,n185
e185,n92,n186
e186,n93,n187
e187,n93,n188
e188,n94,n189
e189,n94,n190
e190,n95,n191
e191,n95,n192
e192,n96,n193
e193,n96,n194
e194,n97,n195
e195,n97,n196
e196,n98,n197
e197,n98,n198
e198,n99,n199
e199,n99,n200
e200,n100,n201
e201,n100,n202
e202,n101,n203
e203,n101,n204
e204,n102,n205
e205,n102,n206
e206,n103,n207
e207,n103,n208
e208,n104,n209
e209,n104,n210
e210,n105,n211
e211,n105,n212
e212,n106,n213
e213,n106,n214
e214,n107,n215
e215,n107,n216
e216,n108,n217
e217,n108,n218
e218,n109,n219
e219,n109,n220
e220,n110,n221
e221,n110,n222
e222,n111,n223
e223,n111,n224
e224,n112,n225
e225,n112,n226
e226,n113,n227
e227,n113,n228
e228,n114,n229
e229,n114,n230
e230,n115,n231
e231,n115,n232
e232,n116,n233
e233,n116,n234
e234,n117,n235
e235,n117,n236
e236,n118,n237
e237,n118,n238
e238,n119,n239
e239,n119,n240
e240,n120,n241
e241,n120,n242
e242,n121,n243
e243,n121,n244
e244,n122,n245
e245,n122,n246
e246,n123,n247
e247,n123,n248
e248,n124,n249
e249,n124,n250
e250,n125,n251
e251,n125,n252
e252,n126,n253
e253,n126,n254
e254,n127,n255
e255,n127,n256
e256,n128,n257
e257,n128,n258
e258,n129,n259
e259,n129,n260
e260,n130,n261
e261,n130,n262
e262,n131,n263
e263,n131,n264
e264,n132,n265
e265,n132,n266
e266,n133,n267
e267,n133,n268
e268,n134,n269
e269,n134,n270
e270,n135,n271
e271,n135,n272
e272,n136,n273
e273,n136,n274
e274,n137,n275
e275,n137,n276
e276,n138,n277
e277,n138,n278
e278,n139,n279
e279,n139,n280
e280,n140,n281
e281,n140,n282
e282,n141,n283
e283,n141,n284
e284,n142,n285
e285,n142,n286
e286,n143,n287
e287,n143,n288
e288,n144,n289
e289,n144,n290
e290,n145,n291
e291,n145,n292
e292,n146,n293
e293,n146,n294
e294,n147,n295
e295,n147,n296
e296,n148,n297
e297,n148,n298
e298,n149,n299
e299,n149,n300
e300,n150,n301
e301,n150,n302
e302,n151,n303
e303,n151,n304
e304,n152,n305
e305,n152,n306
e306,n153,n307
e307,n153,n308
e308,n154,n309
e309,n154,n310
e310,n155,n311
e311,n155,n312
e312,n156,n313
e313,n156,n314
e314,n157,n315
e315,n157,n316
e316,n158,n317
e317,n158,n318
e318,n159,n319
e319,n159,n320
e320,n160,n321
e321,n160,n322
e322,n161,n323
e323,n161,n324
e324,n162,n325
e325,n162,n326
e326,n163,n327
e327,n163,n328
e328,n164,n329
e329,n164,n330
e330,n165,n331
e331,n165,n332
e332,n166,n333
e333,n166,n334
e334,n167,n335
e335,n167,n336
e336,n168,n337
e337,n168,n338
e338,n169,n339
e339,n169,n340
e340,n170,n341
e341,n170,n342
e342,n171,n343
e343,n171,n344
e344,n172,n345
e345,n172,n346
e346,n173,n347
e347,n173,n348
e348,n174,n349
e349,n174,n350
e350,n175,n351
e351,n175,n352
e352,n176,n353
e353,n176,n354
e354,n177,n355
e355,n177,n356
e356,n178,n357
e357,n178,n358
e358,n179,n359
e359,n179,n360
e360,n180,n361
e361,n180,n362
e362,n181,n363
e363,n181,n364
e364,n182,n365
e365,n182,n366
e366,n183,n367
e367,n183,n368
e368,n184,n369
e369,n184,n370
e370,n185,n371
e371,n185,n372
e372,n186,n373
e373,n186,n374
e374,n187,n375
e375,n187,n376
e376,n188,n377
e377,n188,n378
e378,n189,n379
e379,n189,n380
e380,n190,n381
e381,n190,n382
e382,n191,n383
e383,n191,n384
e384,n192,n385
e385,n192,n386
e386,n193,n387
e387,n193,n388
e388,n194,n389
e389,n194,n390
e390,n195,n391
e391,n195,n392
e392,n196,n393
e393,n196,n394
e394,n197,n395
e395,n197,n396
e396,n198,n397
e397,n198,n398
e398,n199,n399
e399,n199,n400
e400,n200,n401
e401,n200,n402
e402,n201,n403
e403,n201,n404
e404,n202,n405
e405,n202,n406
e406,n203,n407
e407,n203,n408
e408,n204,n409
e409,n204,n410
e410,n205,n411
e411,n205,n412
e412,n206,n413
e413,n206,n414
e414,n207,n415
