node,x,y,topological_level,is_source
s,0.5,-0.0,0,True
n1,0.3333333333333333,-1.0,1,False
n2,0.6666666666666666,-1.0,1,False
n3,0.2,-2.0,2,False
n4,0.4,-2.0,2,False
n5,0.6,-2.0,2,False
n6,0.8,-2.0,2,False
n7,0.6666666666666666,-3.0,3,False
n8,0.7777777777777778,-3.0,3,False
n9,0.8888888888888888,-3.0,3,False
n10,0.1111111111111111,-3.0,3,False
n11,0.2222222222222222,-3.0,3,False
n12,0.3333333333333333,-3.0,3,False
n13,0.4444444444444444,-3.0,3,False
n14,0.5555555555555556,-3.0,3,False
n15,0.058823529411764705,-4.0,4,False
n16,0.11764705882352941,-4.0,4,False
n17,0.17647058823529413,-4.0,4,False
n18,0.23529411764705882,-4.0,4,False
n19,0.29411764705882354,-4.0,4,False
n20,0.35294117647058826,-4.0,4,False
n21,0.4117647058823529,-4.0,4,False
n22,0.47058823529411764,-4.0,4,False
n23,0.5294117647058824,-4.0,4,False
n24,0.5882352941176471,-4.0,4,False
n25,0.6470588235294118,-4.0,4,False
n26,0.7058823529411765,-4.0,4,False
n27,0.7647058823529411,-4.0,4,False
n28,0.8235294117647058,-4.0,4,False
n29,0.8823529411764706,-4.0,4,False
n30,0.9411764705882353,-4.0,4,False
n31,0.030303030303030304,-5.0,5,False
n32,0.06060606060606061,-5.0,5,False
n33,0.09090909090909091,-5.0,5,False
n34,0.12121212121212122,-5.0,5,False
n35,0.15151515151515152,-5.0,5,False
n36,0.18181818181818182,-5.0,5,False
n37,0.21212121212121213,-5.0,5,False
n38,0.24242424242424243,-5.0,5,False
n39,0.2727272727272727,-5.0,5,False
n40,0.30303030303030304,-5.0,5,False
n41,0.3333333333333333,-5.0,5,False
n42,0.36363636363636365,-5.0,5,False
n43,0.3939393939393939,-5.0,5,False
n44,0.42424242424242425,-5.0,5,False
n45,0.45454545454545453,-5.0,5,False
n46,0.48484848484848486,-5.0,5,False
n47,0.5151515151515151,-5.0,5,False
n48,0.5454545454545454,-5.0,5,False
n49,0.5757575757575758,-5.0,5,False
n50,0.6060606060606061,-5.0,5,False
n51,0.6363636363636364,-5.0,5,False
n52,0.6666666666666666,-5.0,5,False
n53,0.696969696969697,-5.0,5,False
n54,0.7272727272727273,-5.0,5,False
n55,0.7575757575757576,-5.0,5,False
n56,0.7878787878787878,-5.0,5,False
n57,0.8181818181818182,-5.0,5,False
n58,0.8484848484848485,-5.0,5,False
n59,0.8787878787878788,-5.0,5,False
n60,0.9090909090909091,-5.0,5,False
n61,0.9393939393939394,-5.0,5,False
n62,0.9696969696969697,-5.0,5,False
n63,0.4307692307692308,-6.0,6,False
n64,0.4461538461538462,-6.0,6,False
n65,0.46153846153846156,-6.0,6,False
n66,0.47692307692307695,-6.0,6,False
n67,0.49230769230769234,-6.0,6,False
n68,0.5076923076923077,-6.0,6,False
n69,0.5230769230769231,-6.0,6,False
n70,0.5384615384615384,-6.0,6,False
n71,0.5538461538461539,-6.0,6,False
n72,0.5692307692307692,-6.0,6,False
n73,0.5846153846153846,-6.0,6,False
n74,0.6,-6.0,6,False
n75,0.6153846153846154,-6.0,6,False
n76,0.6307692307692307,-6.0,6,False
n77,0.6461538461538462,-6.0,6,False
n78,0.6615384615384615,-6.0,6,False
n79,0.676923076923077,-6.0,6,False
n80,0.6923076923076923,-6.0,6,False
n81,0.7076923076923077,-6.0,6,False
n82,0.7230769230769231,-6.0,6,False
n83,0.7384615384615385,-6.0,6,False
n84,0.7538461538461538,-6.0,6,False
n85,0.7692307692307693,-6.0,6,False
n86,0.7846153846153846,-6.0,6,False
n87,0.8,-6.0,6,False
n88,0.8153846153846154,-6.0,6,False
n89,0.8307692307692308,-6.0,6,False
n90,0.8461538461538461,-6.0,6,False
n91,0.8615384615384616,-6.0,6,False
n92,0.8769230769230769,-6.0,6,False
n93,0.8923076923076924,-6.0,6,False
n94,0.9076923076923077,-6.0,6,False
n95,0.9230769230769231,-6.0,6,False
n96,0.9384615384615385,-6.0,6,False
n97,0.9538461538461539,-6.0,6,False
n98,0.9692307692307692,-6.0,6,False
n99,0.9846153846153847,-6.0,6,False
n100,0.015384615384615385,-6.0,6,False
n101,0.03076923076923077,-6.0,6,False
n102,0.046153846153846156,-6.0,6,False
n103,0.06153846153846154,-6.0,6,False
n104,0.07692307692307693,-6.0,6,False
n105,0.09230769230769231,-6.0,6,False
n106,0.1076923076923077,-6.0,6,False
n107,0.12307692307692308,-6.0,6,False
n108,0.13846153846153847,-6.0,6,False
n109,0.15384615384615385,-6.0,6,False
n110,0.16923076923076924,-6.0,6,False
n111,0.18461538461538463,-6.0,6,False
n112,0.2,-6.0,6,False
n113,0.2153846153846154,-6.0,6,False
n114,0.23076923076923078,-6.0,6,False
n115,0.24615384615384617,-6.0,6,False
n116,0.26153846153846155,-6.0,6,False
n117,0.27692307692307694,-6.0,6,False
n118,0.2923076923076923,-6.0,6,False
n119,0.3076923076923077,-6.0,6,False
n120,0.3230769230769231,-6.0,6,False
n121,0.3384615384615385,-6.0,6,False
n122,0.35384615384615387,-6.0,6,False
n123,0.36923076923076925,-6.0,6,False
n124,0.38461538461538464,-6.0,6,False
n125,0.4,-6.0,6,False
n126,0.4153846153846154,-6.0,6,False
n127,0.007751937984496124,-7.0,7,False
n128,0.015503875968992248,-7.0,7,False
n129,0.023255813953488372,-7.0,7,False
n130,0.031007751937984496,-7.0,7,False
n131,0.03875968992248062,-7.0,7,False
n132,0.046511627906976744,-7.0,7,False
n133,0.05426356589147287,-7.0,7,False
n134,0.06201550387596899,-7.0,7,False
n135,0.06976744186046512,-7.0,7,False
n136,0.07751937984496124,-7.0,7,False
n137,0.08527131782945736,-7.0,7,False
n138,0.09302325581395349,-7.0,7,False
n139,0.10077519379844961,-7.0,7,False
n140,0.10852713178294573,-7.0,7,False
n141,0.11627906976744186,-7.0,7,False
n142,0.12403100775193798,-7.0,7,False
n143,0.13178294573643412,-7.0,7,False
n144,0.13953488372093023,-7.0,7,False
n145,0.14728682170542637,-7.0,7,False
n146,0.15503875968992248,-7.0,7,False
n147,0.16279069767441862,-7.0,7,False
n148,0.17054263565891473,-7.0,7,False
n149,0.17829457364341086,-7.0,7,False
n150,0.18604651162790697,-7.0,7,False
n151,0.1937984496124031,-7.0,7,False
n152,0.20155038759689922,-7.0,7,False
n153,0.20930232558139536,-7.0,7,False
n154,0.21705426356589147,-7.0,7,False
n155,0.2248062015503876,-7.0,7,False
n156,0.23255813953488372,-7.0,7,False
n157,0.24031007751937986,-7.0,7,False
n158,0.24806201550387597,-7.0,7,False
n159,0.2558139534883721,-7.0,7,False
n160,0.26356589147286824,-7.0,7,False
n161,0.2713178294573643,-7.0,7,False
n162,0.27906976744186046,-7.0,7,False
n163,0.2868217054263566,-7.0,7,False
n164,0.29457364341085274,-7.0,7,False
n165,0.3023255813953488,-7.0,7,False
n166,0.31007751937984496,-7.0,7,False
n167,0.3178294573643411,-7.0,7,False
n168,0.32558139534883723,-7.0,7,False
n169,0.3333333333333333,-7.0,7,False
n170,0.34108527131782945,-7.0,7,False
n171,0.3488372093023256,-7.0,7,False
n172,0.35658914728682173,-7.0,7,False
n173,0.3643410852713178,-7.0,7,False
n174,0.37209302325581395,-7.0,7,False
n175,0.3798449612403101,-7.0,7,False
n176,0.3875968992248062,-7.0,7,False
n177,0.3953488372093023,-7.0,7,False
n178,0.40310077519379844,-7.0,7,False
n179,0.4108527131782946,-7.0,7,False
n180,0.4186046511627907,-7.0,7,False
n181,0.4263565891472868,-7.0,7,False
n182,0.43410852713178294,-7.0,7,False
n183,0.4418604651162791,-7.0,7,False
n184,0.4496124031007752,-7.0,7,False
n185,0.4573643410852713,-7.0,7,False
n186,0.46511627906976744,-7.0,7,False
n187,0.4728682170542636,-7.0,7,False
n188,0.4806201550387597,-7.0,7,False
n189,0.4883720930232558,-7.0,7,False
n190,0.49612403100775193,-7.0,7,False
n191,0.5038759689922481,-7.0,7,False
n192,0.5116279069767442,-7.0,7,False
n193,0.5193798449612403,-7.0,7,False
n194,0.5271317829457365,-7.0,7,False
n195,0.5348837209302325,-7.0,7,False
n196,0.5426356589147286,-7.0,7,False
n197,0.5503875968992248,-7.0,7,False
n198,0.5581395348837209,-7.0,7,False
n199,0.5658914728682171,-7.0,7,False
n200,0.5736434108527132,-7.0,7,False
n201,0.5813953488372093,-7.0,7,False
n202,0.5891472868217055,-7.0,7,False
n203,0.5968992248062015,-7.0,7,False
n204,0.6046511627906976,-7.0,7,False
n205,0.6124031007751938,-7.0,7,False
n206,0.6201550387596899,-7.0,7,False
n207,0.627906976744186,-7.0,7,False
n208,0.6356589147286822,-7.0,7,False
n209,0.6434108527131783,-7.0,7,False
n210,0.6511627906976745,-7.0,7,False
n211,0.6589147286821705,-7.0,7,False
n212,0.6666666666666666,-7.0,7,False
n213,0.6744186046511628,-7.0,7,False
n214,0.6821705426356589,-7.0,7,False
n215,0.689922480620155,-7.0,7,False
n216,0.6976744186046512,-7.0,7,False
n217,0.7054263565891473,-7.0,7,False
n218,0.7131782945736435,-7.0,7,False
n219,0.7209302325581395,-7.0,7,False
n220,0.7286821705426356,-7.0,7,False
n221,0.7364341085271318,-7.0,7,False
n222,0.7441860465116279,-7.0,7,False
n223,0.751937984496124,-7.0,7,False
n224,0.7596899224806202,-7.0,7,False
n225,0.7674418604651163,-7.0,7,False
n226,0.7751937984496124,-7.0,7,False
n227,0.7829457364341085,-7.0,7,False
n228,0.7906976744186046,-7.0,7,False
