benchmark,period,edge,operator_flow,node_balance_flow,exact_difference
synthetic_scale_500u_1022e_4p,k1,e0,8835.95796602024,8835.95796602024,0
synthetic_scale_500u_1022e_4p,k1,e1,8397.214197247404,8397.214197247404,0
synthetic_scale_500u_1022e_4p,k1,e2,4361.336374299104,4361.336374299104,0
synthetic_scale_500u_1022e_4p,k1,e3,4386.262012060934,4386.262012060934,0
synthetic_scale_500u_1022e_4p,k1,e4,4367.62196990862,4367.62196990862,0
synthetic_scale_500u_1022e_4p,k1,e5,3945.6200853663104,3945.6200853663104,0
synthetic_scale_500u_1022e_4p,k1,e6,2194.052170904297,2194.052170904297,0
synthetic_scale_500u_1022e_4p,k1,e7,2123.6708396518166,2123.6708396518166,0
synthetic_scale_500u_1022e_4p,k1,e8,2174.7402202557505,2174.7402202557505,0
synthetic_scale_500u_1022e_4p,k1,e9,2167.6591716845737,2167.6591716845737,0
synthetic_scale_500u_1022e_4p,k1,e10,2168.3029033729017,2168.3029033729017,0
synthetic_scale_500u_1022e_4p,k1,e11,2155.642846836632,2155.642846836632,0
synthetic_scale_500u_1022e_4p,k1,e12,2149.4201071832117,2149.4201071832117,0
synthetic_scale_500u_1022e_4p,k1,e13,1756.7437773294355,1756.7437773294355,0
synthetic_scale_500u_1022e_4p,k1,e14,1088.711217811802,1088.711217811802,0
synthetic_scale_500u_1022e_4p,k1,e15,1083.4004313834519,1083.4004313834519,0
synthetic_scale_500u_1022e_4p,k1,e16,1048.986535327742,1048.986535327742,0
synthetic_scale_500u_1022e_4p,k1,e17,1053.4475959275562,1053.4475959275562,0
synthetic_scale_500u_1022e_4p,k1,e18,1072.7788585267513,1072.7788585267513,0
synthetic_scale_500u_1022e_4p,k1,e19,1080.2139595264416,1080.2139595264416,0
synthetic_scale_500u_1022e_4p,k1,e20,1087.649060526132,1087.649060526132,0
synthetic_scale_500u_1022e_4p,k1,e21,1058.333519441596,1058.333519441596,0
