period,user,stage2_ratio,stage3_ratio
k1,f1,0.6,1.0
k2,f1,0.6,1.0
k3,f1,0.6,1.0
k4,f1,0.6000000000000921,0.6
k1,f2,0.6,1.0
k2,f2,0.6,0.6
k3,f2,0.6,0.6
k4,f2,0.6,0.6
k1,f3,0.6,0.6
k2,f3,0.6,0.6
k3,f3,0.6,0.6
k4,f3,0.6,0.6
k1,f4,0.6,0.6
k2,f4,0.6,0.6
k3,f4,0.6,0.6
k4,f4,0.6,0.6
k1,f5,0.6,1.0
k2,f5,0.6,1.0
k3,f5,0.6,0.6
k4,f5,0.6,0.6
k1,f6,0.6,1.0
k2,f6,0.6,0.6
k3,f6,0.6,0.6
k4,f6,0.6,0.6
k1,f7,0.6,1.0
k2,f7,0.6,1.0
k3,f7,0.6,1.0
k4,f7,0.6,0.6000000000002497
k1,f8,0.6,0.6
k2,f8,0.6,0.6
k3,f8,0.6,0.6
k4,f8,0.6,0.6
k1,f9,0.6,1.0
k2,f9,0.6,1.0
k3,f9,0.6,1.0
k4,f9,0.6,0.6
k1,f10,0.6,1.0
k2,f10,0.6,1.0
k3,f10,0.6,1.0
k4,f10,0.6,0.6
k1,f11,0.6,1.0
k2,f11,0.6,1.0
k3,f11,0.6,1.0
k4,f11,0.6,0.6
k1,f12,0.6,0.6
k2,f12,0.6,0.6
k3,f12,0.6,0.6
k4,f12,0.6,0.6
k1,f13,0.6,0.6
k2,f13,0.6,0.6
k3,f13,0.6,0.6
k4,f13,0.6,0.6
k1,f14,0.6,1.0
k2,f14,0.6,1.0
k3,f14,0.6,0.6
k4,f14,0.6,0.6
k1,f15,0.6,1.0
k2,f15,0.6,1.0
k3,f15,0.6,1.0
k4,f15,0.6,0.6
k1,f16,0.6,1.0
k2,f16,0.6,0.6
k3,f16,0.6,0.6
k4,f16,0.6,0.6
k1,f17,0.6,0.6
k2,f17,0.6,0.6
k3,f17,0.6,0.6
k4,f17,0.6,0.6
k1,f18,0.6,1.0
k2,f18,0.6,1.0
k3,f18,0.6,1.0
k4,f18,0.6,0.6
k1,f19,0.6,1.0
k2,f19,0.6,0.6
k3,f19,0.6,0.6
k4,f19,0.6,0.6
k1,f20,0.6,1.0
k2,f20,0.6,0.6
k3,f20,0.6,0.6
k4,f20,0.6,0.6
k1,f21,0.6,0.6
k2,f21,0.6,0.6
k3,f21,0.6,0.6
k4,f21,0.6,0.6
k1,f22,0.6,1.0
k2,f22,0.6,1.0
k3,f22,0.6,0.6
k4,f22,0.6,0.6
k1,f23,0.6,1.0
k2,f23,0.6,1.0
k3,f23,0.6,1.0
k4,f23,0.6,0.6
k1,f24,0.6,1.0
k2,f24,0.6,0.6
k3,f24,0.6,0.6
k4,f24,0.6,0.6
k1,f25,0.6,0.6
k2,f25,0.6,0.6
k3,f25,0.6,0.6
k4,f25,0.6,0.6
k1,f26,0.6,0.6
k2,f26,0.6,0.6
k3,f26,0.6,0.6
k4,f26,0.6,0.6
k1,f27,0.6,1.0
k2,f27,0.6,1.0
k3,f27,0.6,1.0
k4,f27,0.6,0.6
k1,f28,0.6,1.0
k2,f28,0.6,0.6
k3,f28,0.6,0.6
k4,f28,0.6,0.6
k1,f29,0.6,1.0
k2,f29,0.6,1.0
k3,f29,0.6,0.6
k4,f29,0.6,0.6
k1,f30,0.6,0.6
k2,f30,0.6,0.6
k3,f30,0.6,0.6
k4,f30,0.6,0.6
k1,f31,0.6,1.0
k2,f31,0.6,1.0
k3,f31,0.6,1.0
k4,f31,0.6,0.6
k1,f32,0.6,1.0
k2,f32,0.6,1.0
k3,f32,0.6,1.0
k4,f32,0.6,0.6
k1,f33,0.6,1.0
k2,f33,0.6,1.0
k3,f33,0.6,1.0
k4,f33,0.6,0.6
k1,f34,0.6,0.6
k2,f34,0.6,0.6
k3,f34,0.6,0.6
k4,f34,0.6,0.6
k1,f35,0.6,0.6
k2,f35,0.6,0.6
k3,f35,0.6,0.6
k4,f35,0.6,0.6
k1,f36,0.6,1.0
k2,f36,0.6,1.0
k3,f36,0.6,0.6
k4,f36,0.6,0.6
k1,f37,0.6,1.0
k2,f37,0.6,0.6
k3,f37,0.6,0.6
