period,user,demand,stage1_ratio,stage2_ratio,stage3_ratio
k1,f1,38,0.6,0.6,1.0
k1,f2,45,0.6,0.6,1.0
k1,f3,21,0.6,0.6,0.6
k1,f4,28,0.6,0.6,0.6
k1,f5,35,0.6,0.6,1.0
k1,f6,42,0.6,0.6,1.0
k1,f7,49,0.6,0.6,1.0
k1,f8,25,0.6,0.6,0.6
k1,f9,32,0.6,0.6,1.0
k1,f10,39,0.6,0.6,1.0
k1,f11,46,0.6,0.6,1.0
k1,f12,22,0.6,0.6,0.6
k1,f13,29,0.6,0.6,0.6
k1,f14,36,0.6,0.6,1.0
k1,f15,43,0.6,0.6,1.0
k1,f16,50,0.6,0.6,1.0
k1,f17,26,0.6,0.6,0.6
k1,f18,33,0.6,0.6,1.0
k1,f19,40,0.6,0.6,1.0
k1,f20,47,0.6,0.6,1.0
k1,f21,23,0.6,0.6,0.6
k1,f22,30,0.6,0.6,1.0
k1,f23,37,0.6,0.6,1.0
k1,f24,44,0.6,0.6,1.0
k1,f25,20,0.6,0.6,0.6
k1,f26,27,0.6,0.6,0.6
k1,f27,34,0.6,0.6,1.0
k1,f28,41,0.6,0.6,1.0
k1,f29,48,0.6,0.6,1.0
k1,f30,24,0.6,0.6,0.6
k1,f31,31,0.6,0.6,1.0
k1,f32,38,0.6,0.6,1.0
k1,f33,45,0.6,0.6,1.0
k1,f34,21,0.6,0.6,0.6
k1,f35,28,0.6,0.6,0.6
k1,f36,35,0.6,0.6,1.0
k1,f37,42,0.6,0.6,1.0
k1,f38,49,0.6,0.6,1.0
k1,f39,25,0.6,0.6,0.6
k1,f40,32,0.6,0.6,1.0
k1,f41,39,0.6,0.6,1.0
k1,f42,46,0.6,0.6,1.0
k1,f43,22,0.6,0.6,0.6
k1,f44,29,0.6,0.6,0.6
k1,f45,36,0.6,0.6,1.0
k1,f46,43,0.6,0.6,1.0
k1,f47,50,0.6,0.6,1.0
k1,f48,26,0.6,0.6,0.6
k1,f49,33,0.6,0.6,1.0
k1,f50,40,0.6,0.6,1.0
k1,f51,47,0.6,0.6,1.0
k1,f52,23,0.6,0.6,0.6
k1,f53,30,0.6,0.6,0.6
k1,f54,37,0.6,0.6,1.0
