benchmark,rule,rule_label,lambda_star,minimum_ratio,guarantee_kept,total_net_delivery,weighted_satisfaction,temporal_variation,users,users_better_than_three_stage,users_worse_than_three_stage,total_delivery_relative_to_three_stage
independent_0,three_stage,Three-stage lexicographic (proposed),0.29318245989304814,0.29318245989304814,True,30.249021176470592,0.4201252941176471,1.2048175401069536,1,0,0,1.0
independent_0,total_delivery_max,Total-delivery maximization,0.29318245989304814,0.29318245989304814,True,30.249021176470592,0.4201252941176471,1.2048175401069519,1,0,0,1.0
independent_0,equal_proportional,Equal proportional allocation,0.29318245989304814,0.29318245989304814,True,21.109137112299468,0.29318245989304814,0.0,1,0,1,0.6978452951965055
independent_0,weighted_sum_balanced,"Weighted single objective (35), (a,b,c) = (1,1,1)",0.29318245989304814,0.29318245989304814,True,29.25302117647059,0.40629196078431373,0.20881754010695186,1,0,1,0.9670733147301062
independent_0,weighted_sum_efficiency,"Weighted single objective (35), (a,b,c) = (1,5,1)",0.29318245989304814,0.29318245989304814,True,29.25302117647059,0.40629196078431373,0.20881754010695186,1,0,1,0.9670733147301062
independent_0,weighted_sum_guarantee,"Weighted single objective (35), (a,b,c) = (5,1,1)",0.29318245989304814,0.29318245989304814,True,29.25302117647059,0.40629196078431373,0.20881754010695186,1,0,1,0.9670733147301062
independent_0,leximin,Full leximin (progressive filling),0.29318245989304814,0.29318245989304814,True,30.249021176470592,0.4201252941176471,1.2048175401069519,1,0,0,1.0
independent_1,three_stage,Three-stage lexicographic (proposed),0.2065119643719321,0.2065119643719321,True,98.5518187861951,0.374721744434202,3.5688875101523143,5,0,0,1.0
independent_1,total_delivery_max,Total-delivery maximization,0.2065119643719321,0.0,False,100.45803344274532,0.3819697089077769,5.191119587130174,5,2,3,1.0193422575050155
independent_1,equal_proportional,Equal proportional allocation,0.2065119643719321,0.2065119643719321,True,54.31264662981814,0.20651196437193212,0.0,5,0,5,0.5511075016042842
independent_1,weighted_sum_balanced,"Weighted single objective (35), (a,b,c) = (1,1,1)",0.2065119643719321,0.2065119643719321,True,89.23085795942416,0.33928082874305765,0.6638795494528915,5,2,3,0.9054207122550173
independent_1,weighted_sum_efficiency,"Weighted single objective (35), (a,b,c) = (1,5,1)",0.2065119643719321,0.2065119643719321,True,92.42354039911375,0.35142030570005234,0.9354921089515345,5,2,3,0.9378166891026491
independent_1,weighted_sum_guarantee,"Weighted single objective (35), (a,b,c) = (5,1,1)",0.2065119643719321,0.2065119643719321,True,89.23085795942416,0.3392808287430576,0.6638795494528917,5,2,3,0.9054207122550173
independent_1,leximin,Full leximin (progressive filling),0.2065119643719321,0.2065119643719321,True,96.6523690021412,0.3674995019092821,2.63048342940119,5,2,3,0.9807263852920391
independent_2,three_stage,Three-stage lexicographic (proposed),0.056445626880641926,0.05644562688064188,True,361.6402241049496,0.2809947351242809,16.027285888240936,17,0,0,1.0
independent_2,total_delivery_max,Total-delivery maximization,0.056445626880641926,0.0,False,366.77381606725146,0.2849835400677944,19.197470745601574,17,7,10,1.014195301352352
independent_2,equal_proportional,Equal proportional allocation,0.056445626880641926,0.056445626880641926,True,72.64552179538616,0.05644562688064195,0.0,17,0,15,0.20087788070362467
independent_2,weighted_sum_balanced,"Weighted single objective (35), (a,b,c) = (1,1,1)",0.056445626880641926,0.05644562688064192,True,285.3889730534323,0.22174745380997068,2.011174486498305,17,5,10,0.7891516320115186
