period,active_blocks,net_demand,gross_source_load,source_allocation,source_ratio
11,18,128600.000041,240086.71248522666,252091.048109,1.0499999999979674
12,19,295643.249959,555806.604078837,583596.934283,1.050000000000398
13,19,345430.499959,651793.9023988054,684383.597519,1.0500000000003902
14,20,358814.581785,678457.8112252654,712380.701787,1.0500000000006946
15,20,380951.454095,712841.1594891507,748483.217464,1.0500000000005496
16,20,391314.642953,731307.5161458316,767872.891953,1.0499999999998315
17,20,463643.571368,865049.4103920248,908301.880912,1.0500000000004324
18,20,558398.000099,1039805.0750341734,883834.313779,0.8499999999999543
19,20,630308.000111,1166950.0273528458,991907.52325,0.8500000000000696
20,20,553243.294837,1026045.7849268068,872138.917188,0.8500000000002088
21,20,445823.523618,817194.8832246873,694615.650741,0.8500000000000193
22,20,700642.573315,1285985.3954915367,1093087.586168,0.8500000000001506
23,20,649757.660501,1191508.0215769606,1012781.81834,0.8499999999996504
24,20,579684.657284,1066595.5318295355,906606.202055,0.8499999999999013
25,18,49878.290376,100756.03958135142,90680.435623,0.8999999999978535
26,14,29667.0,58353.615291004615,52518.253762,0.9000000000016425
