family,family_label,capacity_rule,instance,G1_closed_vs_lp,G3_operator_balance,G4_node_residual,G5_physical_abs,G5_physical_rel,G6_floor,G7_satisfaction,G8_variation_excess,lambda_star,bottleneck_class,bottleneck_count,bottleneck_slack_lp,bottleneck_slack_stage3,bottleneck_tight,lp_relax_others,lp_relax_named,bottleneck_sufficient,bottleneck_necessary,bottleneck_identified,omega_stage2,omega_stage3,stage2_face_width,stage2_optimum_unique,stage3_active,stage3_outcome,stage3_relative_reduction,ratios_moved_by_stage3,users,edges,periods,active_records,gate_violations
random_caps,"Random efficiencies, fixed capacity ratios (7/10, 13/10)",prescribed,random_caps_0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,source,3,1.8015914610037605e-16,1.277743987373827e-16,True,0.7000000000000001,0.7007,True,True,True,1.7763568394002505e-15,0.0,1.0880185641326534e-14,True,False,redundant: Stage-2 optimum unique,1.0,0,11,20,3,33,0
random_caps,"Random efficiencies, fixed capacity ratios (7/10, 13/10)",prescribed,random_caps_1,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,source,3,2.144942906062782e-16,2.1001332909172217e-16,True,0.7000000000000001,0.7007,True,True,True,1.1102230246251565e-15,0.0,1.5543122344752192e-15,True,False,redundant: Stage-2 optimum unique,1.0,0,2,5,3,6,0
random_caps,"Random efficiencies, fixed capacity ratios (7/10, 13/10)",prescribed,random_caps_2,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.7,source,3,1.5465536910886498e-16,1.7242442893473435e-16,True,0.7000000000000001,0.7007000000000001,True,True,True,1.8540724511240114e-14,0.0,0.0,True,False,redundant: Stage-2 optimum unique,1.0,0,11,20,3,33,0
random_caps,"Random efficiencies, fixed capacity ratios (7/10, 13/10)",prescribed,random_caps_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,source,3,1.5365617844843538e-16,1.5365617844843538e-16,True,0.7,0.7007,True,True,True,4.6629367034256575e-15,0.0,3.3306690738754696e-15,True,False,redundant: Stage-2 optimum unique,1.0,0,9,16,3,27,0
random_caps,"Random efficiencies, fixed capacity ratios (7/10, 13/10)",prescribed,random_caps_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,source,3,1.7677704112728704e-16,1.7677704112728704e-16,True,0.7,0.7007,True,True,True,2.220446049250313e-15,0.0,3.9968028886505635e-15,True,False,redundant: Stage-2 optimum unique,1.0,0,5,8,3,15,0
random_caps,"Random efficiencies, fixed capacity ratios (7/10, 13/10)",prescribed,random_caps_5,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.7,source,3,1.1363363765099059e-16,1.7016750818639238e-16,True,0.7000000000000001,0.7007,True,True,True,5.551115123125783e-16,0.0,4.440892098500626e-16,True,False,redundant: Stage-2 optimum unique,1.0,0,2,4,3,6,0
random_caps,"Random efficiencies, fixed capacity ratios (7/10, 13/10)",prescribed,random_caps_6,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.7,source,3,1.5962712486811108e-16,1.489312261292179e-16,True,0.7000000000000001,0.7007000000000001,True,True,True,8.881784197001252e-16,0.0,1.2101430968414206e-14,True,False,redundant: Stage-2 optimum unique,1.0,0,8,14,3,24,0
random_caps,"Random efficiencies, fixed capacity ratios (7/10, 13/10)",prescribed,random_caps_7,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.7,source,3,1.9864704716298242e-16,1.9864704716298242e-16,True,0.7,0.7007,True,True,True,3.963496197911809e-14,0.0,1.887379141862766e-14,True,False,redundant: Stage-2 optimum unique,1.0,0,11,20,3,33,0
random_caps,"Random efficiencies, fixed capacity ratios (7/10, 13/10)",prescribed,random_caps_8,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,source,3,1.9159146595607127e-16,1.6208403171097206e-16,True,0.7000000000000001,0.7007,True,True,True,5.329070518200751e-15,0.0,5.773159728050814e-15,True,False,redundant: Stage-2 optimum unique,1.0,0,13,22,3,39,0
random_caps,"Random efficiencies, fixed capacity ratios (7/10, 13/10)",prescribed,random_caps_9,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,source,3,2.886610129648528e-16,1.443305064824264e-16,True,0.6999999999999998,0.7006999999999999,True,True,True,8.215650382226158e-15,0.0,8.881784197001252e-15,True,False,redundant: Stage-2 optimum unique,1.0,0,8,12,3,24,0
random_caps,"Random efficiencies, fixed capacity ratios (7/10, 13/10)",prescribed,random_caps_10,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.7,source,3,1.3567161466421433e-16,1.3567161466421433e-16,True,0.7,0.7006999999999999,True,True,True,1.2212453270876722e-15,0.0,0.0,True,False,redundant: Stage-2 optimum unique,1.0,0,6,9,3,18,0
random_caps,"Random efficiencies, fixed capacity ratios (7/10, 13/10)",prescribed,random_caps_11,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,source,3,1.8289887594400128e-16,0.0,True,0.6999999999999998,0.7006999999999999,True,True,True,8.43769498715119e-15,0.0,7.327471962526033e-15,True,False,redundant: Stage-2 optimum unique,1.0,0,5,10,3,15,0
random_caps,"Random efficiencies, fixed capacity ratios (7/10, 13/10)",prescribed,random_caps_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,source,3,1.1719894800749377e-16,1.1719894800749377e-16,True,0.7,0.7006999999999999,True,True,True,2.9976021664879227e-15,0.0,3.552713678800501e-15,True,False,redundant: Stage-2 optimum unique,1.0,0,12,22,3,36,0
random_caps,"Random efficiencies, fixed capacity ratios (7/10, 13/10)",prescribed,random_caps_13,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.7,source,3,1.9439227919225638e-16,1.9439227919225638e-16,True,0.7,0.7006999999999999,True,True,True,5.551115123125783e-16,0.0,3.1086244689504383e-15,True,False,redundant: Stage-2 optimum unique,1.0,0,5,8,3,15,0
random_caps,"Random efficiencies, fixed capacity ratios (7/10, 13/10)",prescribed,random_caps_14,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.7,source,3,2.0006552935598801e-16,1.21805511656767e-16,True,0.7000000000000001,0.7007,True,True,True,9.992007221626409e-16,0.0,1.0547118733938987e-15,True,False,redundant: Stage-2 optimum unique,1.0,0,5,10,3,15,0
random_caps,"Random efficiencies, fixed capacity ratios (7/10, 13/10)",prescribed,random_caps_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,source,3,0.0,0.0,True,0.7,0.7007,True,True,True,0.0,0.0,0.0,True,False,redundant: Stage-2 optimum unique,0.0,0,1,3,3,3,0
random_caps,"Random efficiencies, fixed capacity ratios (7/10, 13/10)",prescribed,random_caps_16,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.7,source,3,2.1469093646978352e-16,2.1469093646978352e-16,True,0.7,0.7006999999999998,True,True,True,1.4432899320127035e-15,0.0,1.1324274851176597e-14,True,False,redundant: Stage-2 optimum unique,1.0,0,12,21,3,36,0
random_caps,"Random efficiencies, fixed capacity ratios (7/10, 13/10)",prescribed,random_caps_17,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.7,source,3,1.7835220964698881e-16,1.7835220964698881e-16,True,0.7,0.7006999999999999,True,True,True,5.551115123125783e-15,0.0,1.509903313490213e-14,True,False,redundant: Stage-2 optimum unique,1.0,0,6,10,3,18,0
