family,family_label,capacity_rule,instances,max_G1_closed_vs_lp,max_G3_operator_balance,max_G4_node_residual,max_G5_physical_abs,max_G5_physical_rel,max_G6_floor,max_G7_satisfaction,max_G8_variation_excess,gate_violations,source_bound,edge_bound,source_and_edge_tied,unconstrained,multiple_minimizers,bottleneck_identified,with_bottleneck,stage3_active,stage3_active_share,median_relative_reduction_when_active,median_ratios_moved_when_active
random_caps,"Random efficiencies, fixed capacity ratios (7/10, 13/10)",prescribed,40,1.1102230246251565e-16,0.0,0.0,7.105427357601002e-15,1.6014413359481506e-16,0.0,2.220446049250313e-16,0.0,0,40,0,0,0,40,40,40,0,0.0,0.0,0.0
source_bind,Source-binding configuration,prescribed,25,1.1102230246251565e-16,0.0,0.0,2.842170943040401e-14,2.0483862443847147e-16,0.0,1.1102230246251565e-16,0.0,0,25,0,0,0,25,25,25,0,0.0,0.0,0.0
edge_bind,Edge-binding configuration (all loaded reaches tied),prescribed,25,5.551115123125783e-17,0.0,0.0,1.4210854715202004e-14,2.1474180458527473e-16,0.0,0.0,0.0,0,0,25,0,0,25,25,25,0,0.0,0.0,0.0
missing,Missing-demand periods (35% inactive),prescribed,30,2.220446049250313e-16,0.0,0.0,5.684341886080802e-14,2.1495048640137362e-16,0.0,2.220446049250313e-16,0.0,0,30,0,0,0,30,30,30,0,0.0,0.0,0.0
deep,Deeper trees (depth 5),prescribed,20,2.220446049250313e-16,0.0,0.0,5.684341886080802e-14,2.1383894495919615e-16,0.0,3.3306690738754696e-16,0.0,0,20,0,0,0,20,20,20,0,0.0,0.0,0.0
weights,Heterogeneous service weights,prescribed,30,2.220446049250313e-16,0.0,0.0,5.684341886080802e-14,1.8986866799247535e-16,0.0,5.551115123125783e-16,0.0,0,30,0,0,0,30,30,30,0,0.0,0.0,0.0
degenerate,Near-degenerate bottleneck ties (1e-12),prescribed,30,2.220446049250313e-16,0.0,0.0,5.684341886080802e-14,2.1859896927304693e-16,0.0,2.220446049250313e-16,0.0,0,30,0,0,0,30,30,30,0,0.0,0.0,0.0
independent,"Independent capacities, lining classes, uniform weights",independent,80,5.551115123125783e-17,0.0,0.0,4.913403017781093e-12,4.83850358153443e-13,9.913736498390335e-13,2.220446049250313e-16,2.629896300732071e-12,0,2,78,0,0,0,80,80,38,0.475,0.07720062479155906,2.0
seasonal_supply,"Constant seasonal supply, varying demand",independent,60,2.220446049250313e-16,0.0,0.0,5.684341886080802e-14,1.9465888558962188e-16,1.765698698363849e-12,3.3306690738754696e-16,8.786749106093339e-12,0,60,0,0,0,0,60,60,21,0.35,0.07887763662780092,2.0
independent_generic,"Independent capacities, generic efficiencies and weights",independent,60,5.551115123125783e-17,0.0,0.0,1.723243769902183e-11,1.184359979314215e-12,2.227085876826962e-11,2.220446049250313e-16,2.0605739337042905e-12,0,3,57,0,0,0,60,60,2,0.03333333333333333,0.02271534936768814,2.0
all,All families,mixed,400,2.220446049250313e-16,0.0,0.0,1.723243769902183e-11,1.184359979314215e-12,2.227085876826962e-11,5.551115123125783e-16,8.786749106093339e-12,0,240,160,0,0,200,400,400,61,0.1525,0.07418209978586164,2.0
