rule,block,weight,seasonal_demand,delivery_stage3,delivery_share_of_demand,change_vs_uniform,relative_change_vs_uniform,lowest_period_ratio
uniform,F1,1.0,533245.000012,480664.9000133695,0.9013959812141751,0.0,0.0,0.8499999999996508
uniform,F2,1.0,699970.000031,621058.6430408428,0.8872646585044183,0.0,0.0,0.8499999999996504
uniform,F3,1.0,228302.000014,206880.70001390134,0.9061712118212497,0.0,0.0,0.8499999999996504
uniform,F4,1.0,356226.000011,317606.6083061202,0.8915873863679594,0.0,0.0,0.8499999999996504
uniform,F5,1.0,465268.000014,423028.9290458015,0.9092156112887035,0.0,0.0,0.8499999999996504
uniform,F6,1.0,236855.000012,214343.2718061522,0.9049556555499894,0.0,0.0,0.8499999999996504
uniform,F7,1.0,171960.00001,155548.38710631174,0.9045614509029201,0.0,0.0,0.8499999999996504
uniform,F8,1.0,574179.000006,517685.4500056836,0.9016098638234311,0.0,0.0,0.8499999999996504
uniform,F9,1.0,55300.000002,49612.00000183675,0.8971428571436251,0.0,0.0,0.8499999999996504
uniform,F10,1.0,212386.000023,192614.04326189702,0.906905555173308,0.0,0.0,0.8499999999996504
uniform,F11,1.0,213639.000002,192005.10025503195,0.8987361869941092,0.0,0.0,0.8499999999996504
uniform,F12,1.0,294169.000013,266948.70001228654,0.9074671362396768,0.0,0.0,0.8499999999996504
uniform,F13,1.0,152436.000001,137200.0500008145,0.900050184995109,0.0,0.0,0.8499999999996504
uniform,F14,1.0,347668.000011,313687.05001042073,0.9022603460787183,0.0,0.0,0.8499999999996504
uniform,F15,1.0,252386.000018,227673.8742107924,0.9020859881077193,0.0,0.0,0.8499999999996504
uniform,F16,1.0,371379.0,329069.9999999014,0.8860759493668231,0.0,0.0,0.8499999999996504
uniform,F17,1.0,343194.00001,309578.6750094216,0.9020515364499411,0.0,0.0,0.8499999999996504
uniform,F18,1.0,246373.000035,226835.20003270445,0.9206982908049178,0.0,0.0,0.8499999999996504
uniform,F19,1.0,664248.000067,606829.0250615661,0.9135579256548122,0.0,0.0,0.8499999999996504
uniform,F20,1.0,142618.000009,129974.15000842052,0.9113446409304464,0.0,0.0,0.8499999999996504
synthetic_rank_1_to_20,F1,1.0,533245.000012,480381.4000112767,0.9008643306556393,-283.50000209279824,-0.0005898079973905163,0.8499999999996504
synthetic_rank_1_to_20,F2,2.0,699970.000031,620473.6720724415,0.8864289498763693,-584.9709684012923,-0.0009418932897176069,0.8499999999996504
synthetic_rank_1_to_20,F3,3.0,228302.000014,206788.60001320072,0.9057677987951046,-92.10000070062233,-0.0004451841118791346,0.8499999999996504
synthetic_rank_1_to_20,F4,4.0,356226.000011,317108.08572531905,0.8901879304585487,-498.5225808011601,-0.0015696228219554765,0.8499999999996504
synthetic_rank_1_to_20,F5,5.0,465268.000014,422215.3000125496,0.9074668793036381,-813.6290332518984,-0.0019233413541885841,0.8499999999996504
synthetic_rank_1_to_20,F6,6.0,236855.000012,214343.2718061522,0.9049556555499894,0.0,0.0,0.8499999999996504
synthetic_rank_1_to_20,F7,7.0,171960.00001,154975.0000092604,0.9012270295431969,-573.3870970513381,-0.0036862297817299035,0.8499999999996504
synthetic_rank_1_to_20,F8,8.0,574179.000006,517420.8500056678,0.9011490319225552,-264.6000000158092,-0.0005111211837475907,0.8499999999996504
synthetic_rank_1_to_20,F9,9.0,55300.000002,49612.00000183675,0.8971428571436251,0.0,0.0,0.8499999999996504
synthetic_rank_1_to_20,F10,10.0,212386.000023,192532.1000206037,0.9065197329379232,-81.94324129330926,-0.0004254271386738461,0.8499999999996504
synthetic_rank_1_to_20,F11,11.0,213639.000002,191716.8000019489,0.8973867131008577,-288.3002530830563,-0.0015015239319170154,0.8499999999996504
synthetic_rank_1_to_20,F12,12.0,294169.000013,266498.7000122855,0.9059374033311067,-450.00000000104774,-0.0016857171433325433,0.8499999999996504
synthetic_rank_1_to_20,F13,13.0,152436.000001,137200.0500008145,0.900050184995109,0.0,0.0,0.8499999999996504
synthetic_rank_1_to_20,F14,14.0,347668.000011,313687.05001042073,0.9022603460787183,0.0,0.0,0.8499999999996504
synthetic_rank_1_to_20,F15,15.0,252386.000018,227673.87421220032,0.9020859881132978,1.4079269021749496e-06,6.1839633864683884e-12,0.8499999999996484
synthetic_rank_1_to_20,F16,16.0,371379.0,331743.69514331414,0.8932753202074273,2673.6951434127404,0.008125004234398582,0.8499999999996504
synthetic_rank_1_to_20,F17,17.0,343194.00001,309668.67500951944,0.9023137787971127,90.00000009784708,0.00029071769912804253,0.8499999999996504
synthetic_rank_1_to_20,F18,18.0,246373.000035,226835.20003270445,0.9206982908049178,0.0,0.0,0.8499999999996504
synthetic_rank_1_to_20,F19,19.0,664248.000067,606829.0250615661,0.9135579256548122,0.0,0.0,0.8499999999996504
synthetic_rank_1_to_20,F20,20.0,142618.000009,129974.15000842052,0.9113446409304464,0.0,0.0,0.8499999999996504
