F,phase,repeat,ms
20,build,1,0.03999995533376932
20,build,2,0.04429998807609081
20,build,3,0.04120008088648319
20,build,4,0.03899994771927595
20,build,5,0.04009995609521866
20,build,6,0.04079996142536402
20,build,7,0.040199956856667995
20,build,8,0.03850006032735109
20,build,9,0.04099996294826269
20,build,10,0.04169996827840805
20,build,11,0.03909994848072529
20,build,12,0.037800054997205734
20,build,13,0.039499951526522636
20,build,14,0.0510999234393239
20,build,15,0.04029995761811733
20,build,16,0.038800062611699104
20,build,17,0.04060007631778717
20,build,18,0.03900006413459778
20,build,19,0.03979995381087065
20,build,20,0.038100057281553745
20,build,21,0.04239997360855341
20,build,22,0.039400067180395126
20,build,23,0.03870006185024977
20,build,24,0.03900006413459778
20,build,25,0.04179996903985739
20,build,26,0.03929995000362396
20,build,27,0.0385999446734786
20,build,28,0.04339998122304678
20,build,29,0.03869994543492794
20,build,30,0.03850006032735109
20,loads,1,0.28849998489022255
20,loads,2,0.28810009825974703
20,loads,3,0.28799998108297586
20,loads,4,0.2812999300658703
20,loads,5,0.28979999478906393
20,loads,6,0.28449995443224907
20,loads,7,0.2861999673768878
20,loads,8,0.2853000769391656
20,loads,9,0.28490007389336824
20,loads,10,0.28570007998496294
20,loads,11,0.2855999628081918
20,loads,12,0.28330006171017885
20,loads,13,0.2877000952139497
20,loads,14,0.3030999796465039
20,loads,15,0.2886999864131212
20,loads,16,0.28469995595514774
20,loads,17,0.36360009107738733
20,loads,18,0.2867000875994563
20,loads,19,0.2894999925047159
20,loads,20,0.28380006551742554
20,loads,21,0.2885999856516719
20,loads,22,0.2867000875994563
20,loads,23,0.29150000773370266
20,loads,24,0.2812999300658703
20,loads,25,0.2893999917432666
20,loads,26,0.2840000670403242
20,loads,27,0.28659997042268515
20,loads,28,0.29550003819167614
20,loads,29,0.28659997042268515
20,loads,30,0.2823000540956855
20,cf_scan,1,0.03979995381087065
20,cf_scan,2,0.04249997437000275
20,cf_scan,3,0.040599959902465343
20,cf_scan,4,0.04090007860213518
20,cf_scan,5,0.039800070226192474
20,cf_scan,6,0.04050007555633783
20,cf_scan,7,0.040199956856667995
20,cf_scan,8,0.03990007098764181
20,cf_scan,9,0.039400067180395126
20,cf_scan,10,0.04060007631778717
20,cf_scan,11,0.03930006641894579
20,cf_scan,12,0.04079996142536402
20,cf_scan,13,0.0396000687032938
20,cf_scan,14,0.04449998959898949
20,cf_scan,15,0.040199956856667995
20,cf_scan,16,0.04029995761811733
20,cf_scan,17,0.04600000102072954
20,cf_scan,18,0.0396000687032938
20,cf_scan,19,0.04369998350739479
20,cf_scan,20,0.03929995000362396
20,cf_scan,21,0.04139996599406004
20,cf_scan,22,0.03990007098764181
20,cf_scan,23,0.03990007098764181
20,cf_scan,24,0.039899954572319984
20,cf_scan,25,0.04009995609521866
20,cf_scan,26,0.0396000687032938
20,cf_scan,27,0.041199964471161366
20,cf_scan,28,0.0415000831708312
20,cf_scan,29,0.03930006641894579
20,cf_scan,30,0.03959995228797197
20,lp_build,1,0.5206000059843063
20,lp_build,2,0.5598000716418028
20,lp_build,3,0.5318999756127596
20,lp_build,4,0.5254000425338745
20,lp_build,5,0.5244999192655087
20,lp_build,6,0.5504000000655651
20,lp_build,7,0.5264000501483679
20,lp_build,8,0.5222000181674957
20,lp_build,9,0.5282999482005835
20,lp_build,10,0.5469000898301601
20,lp_build,11,0.5201000021770597
20,lp_build,12,0.5193999968469143
20,lp_build,13,0.5264999344944954
20,lp_build,14,0.584700028412044
20,lp_build,15,0.5304999649524689
20,lp_build,16,0.5329999839887023
20,lp_build,17,0.5428000586107373
20,lp_build,18,0.5274999421089888
20,lp_build,19,0.5194999976083636
20,lp_build,20,0.5273000570014119
20,lp_build,21,0.5448999581858516
20,lp_build,22,0.5510000046342611
20,lp_build,23,0.5255999276414514
20,lp_build,24,0.5345999961718917
20,lp_build,25,0.5276000592857599
20,lp_build,26,0.5259999306872487
20,lp_build,27,0.5284000653773546
20,lp_build,28,0.552999903447926
20,lp_build,29,0.5249000387266278
20,lp_build,30,0.5232000257819891
20,lp_solve,1,3.232100047171116
20,lp_solve,2,3.1309000914916396
20,lp_solve,3,3.015300026163459
20,lp_solve,4,3.023299970664084
20,lp_solve,5,3.1962000066414475
20,lp_solve,6,3.021600074134767
20,lp_solve,7,3.01939994096756
20,lp_solve,8,3.017699928022921
20,lp_solve,9,3.131899982690811
20,lp_solve,10,3.0246999813243747
20,lp_solve,11,3.016500035300851
20,lp_solve,12,3.020699950866401
20,lp_solve,13,3.3686000388115644
20,lp_solve,14,3.2618000404909253
20,lp_solve,15,3.4067999804392457
20,lp_solve,16,3.313699970021844
20,lp_solve,17,3.4295000368729234
20,lp_solve,18,3.3666000235825777
20,lp_solve,19,3.38829995598644
20,lp_solve,20,3.494200063869357
20,lp_solve,21,3.420799970626831
20,lp_solve,22,3.3691999269649386
20,lp_solve,23,3.3858000533655286
20,lp_solve,24,3.535600029863417
20,lp_solve,25,3.400100045837462
20,lp_solve,26,3.3545000478625298
20,lp_solve,27,3.50679992698133
20,lp_solve,28,3.2639000564813614
20,lp_solve,29,3.4069999819621444
20,lp_solve,30,3.634899971075356
20,cf_total,1,0.3282999387010932
20,cf_total,2,0.3306000726297498
20,cf_total,3,0.3285999409854412
20,cf_total,4,0.32220000866800547
20,cf_total,5,0.3296000650152564
20,cf_total,6,0.3250000299885869
20,cf_total,7,0.3263999242335558
20,cf_total,8,0.3252001479268074
20,cf_total,9,0.32430014107376337
20,cf_total,10,0.3263001563027501
20,cf_total,11,0.32490002922713757
20,cf_total,12,0.32410002313554287
20,cf_total,13,0.3273001639172435
20,cf_total,14,0.3475999692454934
20,cf_total,15,0.3288999432697892
